model,similarity,NDCG_mean,F1_mean,MRR_mean,Recall@5_mean,Time_ms_mean,NDCG_std,F1_std,MRR_std,Recall@5_std,Time_ms_std
MiniLM,L2,0.07948267039497967,0.4964808426892659,0.06566666666666666,0.0020451011731246454,0.16326904296875,0.20787379652013319,0.008164329114465,0.1869762314068585,0.005846079468666047,0.5023452734276379
MiniLM,Cosine,0.5993740003779205,0.5706261258417341,0.6023333333333334,0.15894317220580245,0.07925987243652344,0.41081833422567987,0.0892736496649115,0.4476110662915593,0.2542127966382781,0.006429377729878709
MPNet,L2,0.06922496598937662,0.4964808426892659,0.05566666666666666,0.0020451011731246454,0.22339820861816406,0.17170477695454686,0.008164329114465,0.14551097705824276,0.005846079468666047,0.3448280178244294
MPNet,Cosine,0.6509957604417592,0.5841592015742053,0.6306666666666666,0.18747231011300788,0.1820659637451172,0.38547719364081773,0.09775307501902267,0.4236135555485028,0.28027011012605657,0.044851972269577475
DistilUSE,L2,0.06819606916077872,0.49642009654436803,0.05566666666666666,0.0019890787641610595,0.19409656524658203,0.169022511394283,0.008468534340163519,0.14551097705824276,0.005825107130888283,0.11668940126578621
DistilUSE,Cosine,0.45453480285866776,0.5550615127895271,0.42733333333333334,0.13733545697044172,0.1593160629272461,0.4030528734420592,0.07888474529273594,0.4263769849948908,0.24050314309330215,0.11931694214885608
NLI-BERT,L2,0.06922496598937662,0.4964808426892659,0.05566666666666666,0.0020451011731246454,0.1724100112915039,0.17170477695454686,0.008164329114465,0.14551097705824276,0.005846079468666047,0.06759151176152199
NLI-BERT,Cosine,0.25926832054246157,0.5130025888916129,0.22033333333333333,0.029457970814048454,0.16986846923828125,0.3697701799410227,0.03505485276295591,0.36223519063356246,0.0653386510377445,0.03861413175105273
SciBERT,L2,0.06922496598937662,0.4964808426892659,0.05566666666666666,0.0020451011731246454,0.1993083953857422,0.17170477695454686,0.008164329114465,0.14551097705824276,0.005846079468666047,0.29783582120577123
SciBERT,Cosine,0.37481711680005264,0.5408982042435961,0.38299999999999995,0.09692874532540806,0.2047443389892578,0.4365643928205384,0.07563915676816402,0.47027757760709793,0.1990105988410522,0.0957941588554536
